about;name;Organisation_oGRN;Organisation_ChildOrganisations;Organisation_Roles
d4850867b3334f6986f8dce437372fe9;Свердловэнергоремонт;;;
18dac34d3eda4773b06b6bd53bd8a45b;Merlin Gerin;;;
d687604e8ded45d19038db9b390d7763;ФАУ «СибНИА им. С.А. Чаплыгина»;1225400008151;;
454c6dae62634934ad9c1cccebf85382;"ПАО ""Завод реле и автоматики"" (г. Киев)";;;
a3f80ca5ef484e64aa93b0e450eaef68;АО «ЮЭСК»;1054100032744;;
69b0adf8bed1409e9ccd72e9a3c536d2;АО «ИЭСК» филиал Центральные электрические сети;1093850013762;;
d05117ea0c934b4f9f33c1faeda278ad;АО «Энерго Сервис»;1067022002607;;
7c52d8618f6746fe870cda2365c7ce76;Филиал АО «Россети Тюмень» Нижневартовские электрические сети;1028600587399;;
bca6e282ed694cc5ac79ee742ee20e8a;АО «ЕЭСнК» (РН-Ванкор);1027727016350;;
5215d17e770a40e1bf61a78c36d22b6a;АО «СГК-Алтай»;1122224002317;18ff694f1a1e47919c189ccd9774584f;
3d8115a7eb6f4f5e8a3c0aa84b7fdb73;Калининградская дистанция электроснабжения ОАО «РЖД»;1037739877295;;
4f161e7e0d414ec79a0ac09f8551e9c2;ООО «Мордовская сетевая компания»;1121326000399;;
400cca705b9f4a9391cd6dc1cee30b20;АО «Салехардэнерго»;1158901001434;;
78930ea17d1b466f8243dd2feb88aafc;ПАО «Транснефть»;1027700049486;23f137713b0548d1a8cb43dca6694f80;
850a9a749a6b4492aef04069e6ecea52;ООО «ХолодИнвест»;1125476096195;;
a9cdbd87b8b140bebfff07ce71a4495b;ООО «СК Энерго»;1211600047911;;
e14e6d12caed4ace8c16174e91282421;ООО «Корунд»;1045206807931;;
c82da49f8859449383130ff3ce250ec3;Балашовская дистанция электроснабжения Юго-Восточной дирекции по энергообеспечению;1037739877295;;
0826b1dc88044f7ab74c5cc66d7c3879;CHINT Group;;;
165b2af3c4734b99b1651580201d2074;АО «ГСР ТЭЦ»;1079847150954;;
9b6bfa4985a14affad4511893f78c78a;ФАУ «ЦАГИ»;1225000018803;;
ba8b64ada0cf4efba2f226b280145504;Воронежский завод электротехнического оборудования;;;
b6920e34795a471c94327fb6270093bb;Чебоксарский электрозавод трансформатор;;;
0d656d3e09aa473cb9baa5a0500d5caa;Минусинская ТЭЦ;1051901068020;;
07718ad32dd24c67880dfbfc982058cc;Хабаровская дистанция электроснабжения;1037739877295;;
36bc78f8b1b545e2a65352989be3053c;ООО «РУСЛЭЛПРОМ»;;;
458a3a1cefbc4668a9151db0688bcbab;АО «ДРСК» филиал Южно-Якутские ЭС;1052800111308;;
5c0f5e0ca8f645f1a1485a5c05989876;Администрация г. Великий Новгород;1035300275372;;
a1e8738f5dd349c0bbbc32dce6cb8faa;МУП «Клинские тепловые сети»;1155020002059;;
5f4c19529452492a9af8786e016b251e;п/я 240 Ленинград МЭП;;;
b46f9b7c0e2f4fc7a2309bc4464cb283;ООО «Амурсталь»;1162724072345;;
10000edd00000000c0000000006d746c;Эквиваленты глобальных объектов;;;
13100e7d99244f52a08413fdf9bb40ed;ОАО «ТВЗ»;1026900513914;;
e280fdb822e54fc389cc965e1815cbfb;Элпром-Энерго;;;
f9dfd1346cf143c49f160fa3939f7374;АО «СГК – Новосибирск»;1045401912401;;
ee6532704815495d9e0836c34c04e526;Балаковский филиал АО «Апатит»;1025100561012;;
2a827edd80064a0997f1eb0835da43ab;ПАО «КуйбышевАзот»;1036300992793;;
b77d6a2364434edb885aed2df5c0fc85;Уралэлектрокомплект;;;
58eb453ea9f840ba839f11efd7b7e667;АО «СМ-Финанс»;1215000099060;;
6686503cf147473f80312f6d5c43925f;АО «Химзавод им.Карпова»;1021601116085;;
a21c8d2737ae4b168f8e9181f958df40;Свердловская дирекция по энергообеспечению ОАО «РЖД»;1037739877295;30e2a75c54e048c98c0582abd0e79e5e;
d29aa054314946b7aa9c8459bb7b3550;Филиал ПАО «Россети Центр» - «Курскэнерго»;1046900099498;;
6d229f217fc745499bcb9b52d5275300;ООО «Областная Энергосетевая Компания»;;;
d548c0469e494189b54bca2bf6f6ed90;ООО «Татнефть-Энергосбыт»;1091644004022;39bc2010fb8f42f6bc44a2acb59ce043;
d9076d5886fa4c738fb477da96b2442a;ООО «ТМК Энерго Ресурс»;1167456116090;;
5a0ab73dec9b4d1381f63904d02ec91e;АО «ИЭСК» филиал Западные электрические сети;1093850013762;;
4edf078634124e7dbebc354fd7958bfc;Филиал АО «Транснефть-Урал» Арланское нефтепроводное управление;1020203226230;;
2a589e701482428d8a4094cc2d070bb4;ДП Ишимские эл.сети;1028600587399;;
0d6cb331c12c4e1dba1b2a7db7695903;АО «Малышевское рудоуправление»;1026600626612;;
27e22a63686d4f02863bd73114176e3c;АО «Таркетт»;1026303207226;;
8d867e3974014e24944c9af2511f675f;АО «Желдорреммаш»;5087746570830;4a2ac736a6ac472d9c4c3529375820ec;
2e75e7b303384909a4465c7643a3c59b;АО «Разрез Канский»;1082450000423;;
949d78471a2243998edc6119008a6703;ПАО «Россети Урал»;1056604000970;b486356aa12c4a3db9b05b562ce62a09;
d5bd422b0f1448eebd5dede0506c27b8;АО «Группа «Илим»;5067847380189;f77cbec2da70467483cc76da707a1b78;
2b4d8c8b165f4284b67cd7151de13503;АО «АЭХК»;1083801006860;;
36f277e66a0d49739d3adde5d18bc49c;ООО «Сан Проджектс 2»;1167746756033;;
90b9422fefbc472482f82630c6f5feb9;ООО «Яковлевский ГОК»;1071031000534;;
07662fa2b8944a6c8b7c5415a8e1c4a6;Филиал «Черепетская ГРЭС имени Д.Г. Жимерина» АО «Интер РАО - Электрогенерация»;1027100507301;;
c04cf8b787a447488986656de367e24b;АО «Катавский цемент»;1027400757581;;
c6daf24135934790935625ddd8b7ed21;ООО «Марс»;1025005917298;;
4ae0872cb988464f9dcc748701a09c55;Чирчикский трансформаторный завод (ЧТЗ);;;
52dafcee90614b7781a13b3bc079578b;Филиал «Азот» АО «ОХК «УРАЛХИМ»;1077761874024;;
b58138555a114f59b5072b88660018de;ООО Лысьвенский завод тяжелого электрического машиностроения «ПРИВОД»;;;
5b568d330dd84f909458bda7c859098b;АО «Ресурс»;1117609002686;;
07adfcbff5b0409f94cd17a4220a165d;АО КБХА;1043600062725;;
3aa995c1ea0d45e0857e73da4409ecd2;АО «ВВЭК»;1075261009471;;
c67f4ba8e4454258be4506523863b63b;АО «Элеконд»;;;
d6b4847f066e47b1876970871a442025;Южно-Уральская дирекция по энергообеспечению ОАО «РЖД»;1037739877295;c5c8cbc274d842ad85afb85c0726b0f6;
9041aa3e37e84fc8bc74bf8e29c36557;ООО «ПК «Промтрактор»;1062130009590;86f3b37a194b45079d3f823e7bf44da4;
ac5afd3c67824b768633e68835e068da;Филиал «Производство полиметаллов» АО «Уралэлектромедь»;1026600726657;;
cbe961589faf4ebeb2c6de1912cfccbb;ООО «ДагЭнерЖи»;1140548000120;;
3eb8a988d72c49b2ad3d7041024812ee;ООО «ЭЛСК НН»;1155260003250;;
52640322613c4c77b8107415b9db9f6d;ООО «ЭК Маяк»;1187456033820;;
02b07b6c083941639836bb282ef55435;АО «ТЭЦ ВИЗа»;1026605238802;;
e3ccb3ec9a93428c8131a7852236f1fd;ООО «Металекс»;1025600820630;;
14b22ac8cd22457796605de29e028666;Филиал АО «Сетевая компания» Набережночелнинские электрические сети;1021602830930;;
73bdb4f90b6e49c68617874d5e54c918;Филиал – Грязовецкое ЛПУМГ ООО «Газпром трансгаз Ухта»;1021100731190;;
8dbbd901f19147968097ffdd449217d1;"ООО ""Инвест Трейд""";1047796261534;;
7749db190df94983b7430bc9fe47c8c3;Rolls-Royce Power Systems;;;
00e43f8f129f4209be4b4d812d55169c;"Электрокомбинат ""Мотез""";;;
31153b6a269c49c29b4610eace161067;Enercon;;;
b94b57accd6f409e8a317a91f1c83522;ООО «Агрокультура Групп»;1145019001050;;
fad6edff15734214945c2c078cc9424c;ООО АК «Ставрополь Авто»;1132651005651;;
4a04662fbb184d23b53d31a116d7aac4;Филиал «Тюменская ГРЭ СГБ» АО «НПЦ «Недра»;1077604016830;;
751456ed7ead474b8e54529d9332ab54;АО «РАМО-М»;1027700135650;;
ccc3675919e64b0393f4b0fa78451565;ФКП «Пермский пороховой завод»;1025901604156;;
836cb0613e7744108a7fa13e27d41fbd;ООО «БрянскЭлектро»;5147746160172;5059a40b07664626b4ee3451d80497bb;
4251355fddfb402eb0626abadb8fe72a;АО «Энергетик-ПМ»;1025900893600;;
710f81653a0e41dbb5194cbb3ec0d528;АО «Орский машиностроительный завод»;1025601999400;;
0dd665e455444f03ba2ba3db088b62bf;АО «НИИМАШ»;1176658123290;;
bca24bb591dd4f63b9d864f9a178669e;ООО «ЭН+ ГИДРО КАРЕЛИЯ»;1137746003658;;
577a2d17ded24f6bb6bf1d8861e90fb4;ООО «Сыры Кубани»;1162362050157;;
a6b8444bf831477c8eb5cef7be5a1455;Филиал ПАО «Россети ЮГ» – «Ростовэнерго»;1076164009096;b715943838a6448093a08d743c0b075f;
5c4655b7622f41e9ad8ee0b515af8de6;ООО «ИНК»;1023801010970;;
a425791329c74127a7ea40cdbfcef7b2;МОФ ООО «Мечел – Энерго»;1027700016706;;
e22a09e9f4dd437d827ad543c7cc2b03;ООО «Проктер энд Гэмбл – Новомосковск»;1037100100938;;
92d72e659e1c4492b2240a045a8f47c8;Кушвинский электромеханический завод;;;
1125205b2ca544b490b4ca79dd4d5d3f;Энергоглавстрой;;;
bf3b53c8b9ce4e04a15306aa7f103892;ООО «Энергоинвест»;1097746286780;;
136c801df9bc449d832f4ed776d230d4;ООО «ТСЗ»;1122363000121;;
fe612d72df41488492286d92ec168836;ООО «НПП Преобразователь-комплекс»;;;
e7b8da74c572462f8299a14503cc61fd;ООО «ИСРАТЭК С»;1035009158360;;
608f24357ed542f48d8ca742dfbd407b;АО «Росатом Возобновляемая энергия»;1177746952888;;
e7878e6ae2014cc5a697b3e6cb6834a3;ООО «Самараэлектросеть»;1216300019110;;
332b8aad831941dba09cd9a73225d38d;ООО «ГПА»;1075543005812;;
