about;name;OrganisationRole_Objects
81ea4dd1da1346a6818db09a6ee2e3aa;Владение АО «УНИИКМ»;
cfa2b24a55c94b6ca16228f519f00da5;Владение АО «Богословское рудоуправление»;
3c8bab3652794c1088078436dc266fbf;Владение АО «Энергосбытовая компания Кировского завода»;
6dafaf54720b4004bd45440c7707b0cf;Владение ООО «Амурский ГХК»;
6b4cb74f504141fcad41dd92298305d7;Владение ООО «Газпром переработка Благовещенск»;
4118aa88f3d84c64b2adabb2522495b9;Владение АО «АТЭК»;
32c963d7079a4876a49d04acffdf9606;Владение ООО «Ларта Гласс Ростов» ;
700ed5a300df44f4a6df9a9e396bcfbf;Владение ООО «Варистор»;
cd3fb6a00b7946dab75a1e3448476a95;Владение ООО «Томскнефтехим»;
400545bf26834b3bb47090a8814632b5;Владение АО «ОЭК»;
a6b8ba03d0c24ee588f3572ba5794162;Владение АО «КузбассЭлектро»;
adf28a66f149423dbccd84087043facc;Владение ООО «Инфраструктура Молжаниново»;
30b476bfeee5413fb3148db9ed45bc47;Владение АО «Химзавод им.Карпова»;
77207cb0d10e46688cf6c1d7d543b7b5;Владение Филиал ПАО «Россети Центр» - «Тверьэнерго»;
fae22fe05abb4367978491aa57be8a06;Владение АО «НИИ ОЭП»;
7c2007f96c12466d9bf010f546d8cf7b;Владение ООО Агрокомплекс «Чурилово»;
f86b4b9225d24992a1c406eb822ecc53;Владение ООО ХК «СДС-Энерго»;
6d04263ddd13465287d82214c53a1e87;Владение ООО «ЕВРОХИМ - УКК»;
512a54b9d07c46b5835d24ab050cdfed;Владение АО «ДВЭУК - ЕНЭС»;
b41a6e28329947dbb5cc0d03f39a6e1a;Владение АО «Объединенные электрические сети»;
d069cee5e71b4461953d90bd15aed946;Владение АО «Технопарк»;
2a27c1ce78794501b19beaf5dc679df1;Владение АО «Дзержинскхиммаш»;
e5b225a8b5374f93b2fafb303319938c;Владение ПАО «Электромеханика»;
840412d1e1984cfeb8e392daff98fce6;Владение ФГУП «УЭВ»;
8b52ba5c03b94aabaad4bd6f9b33cceb;Владение АО «Калининградский янтарный комбинат»;
a6f43b92ae5e4419b1a513e32757dc0e;Владение ООО «Ларта Гласс Раменское»;
0ad7c9e5e1874030b9843765e5a0354a;Владение АО «Прионежская сетевая компания»;
9f9b398c7e664b2fb605da6544546368;Владение ООО «Газпром нефтехим Салават»;
5a638517c0854299911beef5a2502181;Владение АО «БЭМЗ»;
760061aeb7a449ecabbf34f97043b124;Владение Усинское региональное управление ООО «ЛУКОЙЛ-ЭНЕРГОСЕТИ»;
66cac5ddefa644319a41d6bc9effdfd4;Владение АО «ТНГ»;
2f689416f0c845bab2c00b6679a5e567;Владение ООО «Энерготехсервис»;
bc3b0e6127eb4c6b89602c5681313a0b;Владение ПАО «Надеждинский металлургический завод»;
1a407c9ca0de4063bff4b193b02f5c56;Владение ООО «НОВАТЭК-Мурманск»;
eeb4fc88c2f349eaadef8206c4a8f4af;Владение ООО «ЭнергоПаритет»;
a25f16a21f5f4a99805477ab1791b47c;Владение АО «СГК – Новосибирск»;
a3fe9764f2544370b76755cd21b2a13b;Владение АО «Кызылская ТЭЦ»;
a4ce38b4f356437bb7733b3ec9186eda;Владение АО «Завод Красная Этна»;
39b622d0f6824d07ace61922d1b66b76;Владение АО «ППО ЭВТ им. В.А. Ревунова»;
9bbcf9fd3c094cf4afe741de76e87844;Владение АО «ВВЭК»;
90957779be1e4688bc35195891b6cc1e;Владение ООО «Кстовские энергосети»;
fa47e2c4c4654dbd9e56fd7b9dae17ef;Владение ООО «Ульяновская воздушно-кабельная сеть»;
01efffbfc545492e8df8096fdcd9f389;Владение АО «Сафьяновская медь»;
8698798c667f4b74b851670648c33f6b;Владение ООО «ЭРГО»;
f4f9d9a0cf0b4b1cade5cf40bdaff288;Владение АО «Металлист-Самара»;
abb73cfd8e154c0e9d5a0f1494dce86a;Владение ООО «Новороссийский прокатный завод»;
da1707fd09274737a18b99be99e63c8d;Владение ООО «ЭСК Воронеж»;
abdbcc92ebce4951ad6f7fe2fc0780d5;Владение ООО «НОВАТЭК-Энерго»;
9ea474835919459088c0019a68f81902;Владение ООО «СПД»;
211d8cc750ee40bb89d392afe539c695;Владение Филиал ПАО «Россети» - Нижне-Волжское ПМЭС;
0156f65709544071afa44bf2ca91b244;Владение АО НПО «Тяжпромарматура»;
ccdd7b4940724a0198cd9f1237ebf538;Владение АО «КЭС»;
584e59cff24444df8f6a1dc77c507f8e;Владение ООО «ВЛП Свирь»;
48a1040558dd4c49ac0b210b2441324b;Владение АО «РАМО-М»;
11a1813af406498fb25c8896f6bca4aa;Владение ЗАО «Южная Энергетическая Компания»;
aaa19c484c6c42d085a98b9faf283d14;Владение Филиал ПАО «Россети» - Новгородское ПМЭС;
260fa97df3694c4daf1c67e5855ab924;Владение АО «Нижнекамсктехуглерод»;
c8d45e8ba47546ea9e74bce4d1312d85;Владение ЗАО «Агрохолдинг Экорос»;
ec0bc32c43454aacb85f1f31fc574199;Владение АО «Уралэлектромедь»;
fde4b6b114594a288e6213c2be1a475e;Владение ООО «Ишсталь»;
