about;name;so_PSRType_AssetTypes
ff1ada6c5cd940539a4c67c0fc1d87d5;Элегазовый выключатель;937f70ca22af443aa5d7ca192a98bf78
10000cb300000000c0000000006d746c;Отделитель;0c4b941ca4dc4187a15bcedca045212b
100016e000000000c0000000006d746c;Емкостной делитель напряжения;
5d509cc1c4db4f61b49c9bb84d191f68;Фильтрокомпенсирующее устройство;
1000125c00000000c0000000006d746c;Солнечная электростанция;
0a6bb65685eb4f4b800b79a43a170e8c;Газопоршневая электростанция;
5282a252a5f04b0d80084845af415da5;СТН-2В-410-2530-2 УХЛ4;ee85aea934b742d6990d115a884a6334
32db5b0b683e4bbe9234a673033a7da0;Группа фотоэлектрических установок;
3a0503a05e5648f381cb0c4858cd8bc0;Двухгрупповая параллельного самовозбуждения;ee85aea934b742d6990d115a884a6334
10000ce400000000c0000000006d746c;Воздушное соединение;
7caf053438204381a4c9cad6fe89c4b6;СТС-2П-210-1900-2,5 УХЛ4 ;ee85aea934b742d6990d115a884a6334
100012f100000000c0000000006d746c;Выкатной выключатель с ОПН;937f70ca22af443aa5d7ca192a98bf78
88ef2c92004049a9a8c7c26c16afff0b;"ВГТ-110IV-40/2000У1 (ООО ""ЗЭТО-ГАЗОВЫЕ ТЕХНОЛОГИИ)";937f70ca22af443aa5d7ca192a98bf78
10000d2200000000c0000000006d746c;Управляемый шунт. реактор с БСК;6f2390978ed84e29a6820c4eaafa048d
10000d2a00000000c0000000006d746c;Выкатная тележка;
2e4a50a171a2455ea35216c3a55eb44e;ВГП-110 II*-40/2500 ХЛ1*;937f70ca22af443aa5d7ca192a98bf78
ec84aa974c644a6f860234fa1abde511;Кабельно-воздушная ЛЭП;
375b820d32cb4d389016ef3b6c67509b;СТС-2П-310-1900-2,5 ;ee85aea934b742d6990d115a884a6334
38644b8bbdec45fbb2da7fdc84b62878;элегазовый выключатель;0c4b941ca4dc4187a15bcedca045212b
26a56fa4748b4046b73abab4620f6e02;Тиристорная система самовозбуждения;ee85aea934b742d6990d115a884a6334
e7b5d19f75b1462caa10b6f38826430d;Одномашинная система электромашинного возбуждения с возбудителем постоянного тока;ee85aea934b742d6990d115a884a6334
a1214e7eb1fb49d497b08e429a303ba4;Паротурбинный агрегат;
bbcde4d0f83c4b24bf936920c1374e22;КВсгОСР-RA-460-2500-D11-8-УХЛ4 ;ee85aea934b742d6990d115a884a6334
95ac5be4b7e44e6c8a54f194f4555328;РЛНД3-110/600 (ЛСНХ ВЗВА г.Великие Луки);0c4b941ca4dc4187a15bcedca045212b
