about;name;sizeDescription;material;radius;diameterOverJacket;diameterOverCore;diameterOverInsulation;tapeThickness;sheathThickness;constructionKind;outerJacketKind;insulationEr;insulationErShield;shieldMaterial;shieldIsTransposed;shieldCrossSection;shieldGrounding;crossSection;underShieldScreenThickness;radialMoistureBarrierThicknes
9244c717a2cd4b9ba35cdca8008e5fd9;5õÀÏâÂíã(Â)-(3õ240);5õÀÏâÂíã(Â)-(3õ240);WireMaterialKind.aluminum;;0.07579999999999999;;;0.0006;;WireMaterialKind.aluminum;;;;WireMaterialKind.aluminum;false;7E-05;WireMaterialKind.aluminum;0.00024;;0.0001
18616190d5c241caba3c8a889853a8da;ÀÏâÂãíã---1õ630/150-64/110;ÀÏâÂãíã - 1õ630/150-64/110;WireMaterialKind.aluminum;0.0148;;;;0.0025;;WireMaterialKind.aluminum;;;;WireMaterialKind.aluminum;false;0.00015;WireMaterialKind.aluminum;0.00063;;
d960d015763d49639012f349e04a646d;ÀÏâÏó2ã-1õ400/120-127/220;ÀÏâÏó2ã-1õ400/120-127/220;WireMaterialKind.aluminum;0.011800000000000001;0.095;;;0.0015;;WireMaterialKind.aluminum;;5.8;5.6;WireMaterialKind.aluminum;false;0.00012;WireMaterialKind.aluminum;0.0004;0.001;0.00015
c527323ecffd4c9599ac9ac90af7b859;À2ÕS(FL)2Y+-1õ400RM/-120---64/110-Nexans;À2ÕS(FL)2Y+ 1õ400RM/ 120 - 64/110 Nexans;WireMaterialKind.aluminum;0.01165;0.071;;;0.0011;;WireMaterialKind.aluminum;;;;WireMaterialKind.aluminum;false;0.00012;WireMaterialKind.aluminum;0.0004;0.001;0.0003
96c456d4fb8a4591a03b6ebe2fd52998;AHXCHBMK-W-3x400/185;AHXCHBMK-W 3x400/185;WireMaterialKind.aluminum;0.037;;;;0.185;;;;;;;false;;WireMaterialKind.aluminum;;;
dd3305e164584d81950df954facf66d8;1. ÏÂÏÍÃ(À)2ãæ-HF-1*185/120-64/110;ÏÂÏÍÃ(À)2ãæ-HF 1*185/120-64/110;WireMaterialKind.copper;0.0126;0.0639;;;0.0011;;;;2.5;2.3;;false;0.00012;;0.000185;0.001;0.00015
c31bb98808324a129b5c861bea00e8cb;ÌÑÑÊ-4-110-150;ÌÑÑÊ-4-110-150;WireMaterialKind.copper;0.031;;;;0.0003;;;;;;;;;;0.00015;;
551fd9c48c4643c6802d91b31fe882ee;Êàáåëü ÀÏâÏó2ã  1õ1200 ãæ/300-64/110 ÂÅĞÍÎ;Êàáåëü ñ àëşìèíèåâîé æèëîé, ñ èçîëÿöèåé èç ñøèòîãî ïîëèıòèëåíà, óñèëåííîé îáîëî÷êîé èç ïîëèıòèëåíà, ñ äâîéíîé ãåğìåòèçàöèåé ıêğàíà:àëşìîïîëèìåğíàÿ ëåíòà, ñâàğåííàÿ ñ îáîëî÷êîé, äëÿ çàùèòû îò ïğîíèêíîâåíèÿ âëàãè â ñî÷åòàíèè ñ ïğîäîëüíîé ãåğìåòèçàöèåé âîäîíåïğîíèöàåìûìè ëåíòàìè;WireMaterialKind.aluminum;0.0206;0.0842;0.0842;;0.0011;;;WireMaterialKind.aluminum;2.5;2.3;WireMaterialKind.aluminum;true;0.0003;;0.0012;0.0011;0.00015
7d1801c8b19246138770ea034ba6cd76;3õÀÏâÏ-1õ300ìê/95-10 ;3õÀÏâÏ 1õ300ìê/95-10 ;WireMaterialKind.aluminum;0.013175000000000001;0.038;;;0.0006;;WireMaterialKind.aluminum;;2.3;2.3;WireMaterialKind.aluminum;false;9.5E-05;WireMaterialKind.aluminum;0.0003;0.0006;
09d7b9be56f34aa0825f4be77a3a1af7;ÏâÂíã(Â)-LS-4õ3(1õ240/50-10);ÏâÂíã(Â)-LS 4õ3(1õ240/50-10);WireMaterialKind.copper;0.00875;0.04;;;0.0006;;WireMaterialKind.copper;;;;WireMaterialKind.copper;false;5E-05;WireMaterialKind.copper;0.00024;;
